"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","HUR","TOT","PC_LF","M","2006-07",4.65611,
"AUS","HUR","TOT","PC_LF","M","2006-08",4.712224,
"AUS","HUR","TOT","PC_LF","M","2006-09",4.66555,
"AUS","HUR","TOT","PC_LF","M","2006-10",4.463064,
"AUS","HUR","TOT","PC_LF","M","2006-11",4.514783,
"AUS","HUR","TOT","PC_LF","M","2006-12",4.567689,
"AUS","HUR","TOT","PC_LF","M","2007-01",4.553615,
"AUS","HUR","TOT","PC_LF","M","2007-02",4.634415,
"AUS","HUR","TOT","PC_LF","M","2007-03",4.459363,
"AUS","HUR","TOT","PC_LF","M","2007-04",4.38539,
"AUS","HUR","TOT","PC_LF","M","2007-05",4.26381,
"AUS","HUR","TOT","PC_LF","M","2007-06",4.323783,
"AUS","HUR","TOT","PC_LF","M","2007-07",4.252691,
"AUS","HUR","TOT","PC_LF","M","2007-08",4.299256,
"AUS","HUR","TOT","PC_LF","M","2007-09",4.212867,
"AUS","HUR","TOT","PC_LF","M","2007-10",4.326275,
"AUS","HUR","TOT","PC_LF","M","2007-11",4.426582,
"AUS","HUR","TOT","PC_LF","M","2007-12",4.308077,
"AUS","HUR","TOT","PC_LF","M","2008-01",4.221014,
"AUS","HUR","TOT","PC_LF","M","2008-02",3.979271,
"AUS","HUR","TOT","PC_LF","M","2008-03",4.056744,
"AUS","HUR","TOT","PC_LF","M","2008-04",4.264806,
"AUS","HUR","TOT","PC_LF","M","2008-05",4.265496,
"AUS","HUR","TOT","PC_LF","M","2008-06",4.243171,
"AUS","HUR","TOT","PC_LF","M","2008-07",4.249638,
"AUS","HUR","TOT","PC_LF","M","2008-08",4.015678,
"AUS","HUR","TOT","PC_LF","M","2008-09",4.288691,
"AUS","HUR","TOT","PC_LF","M","2008-10",4.29027,
"AUS","HUR","TOT","PC_LF","M","2008-11",4.462722,
"AUS","HUR","TOT","PC_LF","M","2008-12",4.569835,
"AUS","HUR","TOT","PC_LF","M","2009-01",4.907171,
"AUS","HUR","TOT","PC_LF","M","2009-02",5.303105,
"AUS","HUR","TOT","PC_LF","M","2009-03",5.710748,
"AUS","HUR","TOT","PC_LF","M","2009-04",5.511716,
"AUS","HUR","TOT","PC_LF","M","2009-05",5.810943,
"AUS","HUR","TOT","PC_LF","M","2009-06",5.860946,
"AUS","HUR","TOT","PC_LF","M","2009-07",5.670954,
"AUS","HUR","TOT","PC_LF","M","2009-08",5.715501,
"AUS","HUR","TOT","PC_LF","M","2009-09",5.661253,
"AUS","HUR","TOT","PC_LF","M","2009-10",5.623957,
"AUS","HUR","TOT","PC_LF","M","2009-11",5.558456,
"AUS","HUR","TOT","PC_LF","M","2009-12",5.490997,
"AUS","HUR","TOT","PC_LF","M","2010-01",5.265194,
"AUS","HUR","TOT","PC_LF","M","2010-02",5.299494,
"AUS","HUR","TOT","PC_LF","M","2010-03",5.421971,
"AUS","HUR","TOT","PC_LF","M","2010-04",5.496768,
"AUS","HUR","TOT","PC_LF","M","2010-05",5.228394,
"AUS","HUR","TOT","PC_LF","M","2010-06",5.143668,
"AUT","HUR","TOT","PC_LF","M","2006-07",5.8,
"AUT","HUR","TOT","PC_LF","M","2006-08",5.1,
"AUT","HUR","TOT","PC_LF","M","2006-09",5.3,
"AUT","HUR","TOT","PC_LF","M","2006-10",5.3,
"AUT","HUR","TOT","PC_LF","M","2006-11",5.2,
"AUT","HUR","TOT","PC_LF","M","2006-12",5.5,
"AUT","HUR","TOT","PC_LF","M","2007-01",5.1,
"AUT","HUR","TOT","PC_LF","M","2007-02",5.4,
"AUT","HUR","TOT","PC_LF","M","2007-03",5.1,
"AUT","HUR","TOT","PC_LF","M","2007-04",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-05",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-06",5.2,
"AUT","HUR","TOT","PC_LF","M","2007-07",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-08",5.6,
"AUT","HUR","TOT","PC_LF","M","2007-09",4.8,
"AUT","HUR","TOT","PC_LF","M","2007-10",5,
"AUT","HUR","TOT","PC_LF","M","2007-11",5,
"AUT","HUR","TOT","PC_LF","M","2007-12",4.4,
"AUT","HUR","TOT","PC_LF","M","2008-01",4.5,
"AUT","HUR","TOT","PC_LF","M","2008-02",4.6,
"AUT","HUR","TOT","PC_LF","M","2008-03",4.5,
"AUT","HUR","TOT","PC_LF","M","2008-04",4,
"AUT","HUR","TOT","PC_LF","M","2008-05",4.2,
"AUT","HUR","TOT","PC_LF","M","2008-06",3.9,
"AUT","HUR","TOT","PC_LF","M","2008-07",4.3,
"AUT","HUR","TOT","PC_LF","M","2008-08",4.9,
"AUT","HUR","TOT","PC_LF","M","2008-09",4.2,
"AUT","HUR","TOT","PC_LF","M","2008-10",4.3,
"AUT","HUR","TOT","PC_LF","M","2008-11",4.8,
"AUT","HUR","TOT","PC_LF","M","2008-12",5.1,
"AUT","HUR","TOT","PC_LF","M","2009-01",5,
"AUT","HUR","TOT","PC_LF","M","2009-02",4.9,
"AUT","HUR","TOT","PC_LF","M","2009-03",5.2,
"AUT","HUR","TOT","PC_LF","M","2009-04",5.8,
"AUT","HUR","TOT","PC_LF","M","2009-05",5.5,
"AUT","HUR","TOT","PC_LF","M","2009-06",5.8,
"AUT","HUR","TOT","PC_LF","M","2009-07",6.4,
